case_number,court_division,court_location,disposition,disposition_date,disposition_found,duration,execution,file_date,hasAttyD,hasAttyP,inhad,inhap,initiating_action,isEntityD,isEntityP,judgment,judgment_for,judgment_for_pdu,judgment_total,latest_docket_date,property_address_city,property_address_state,property_address_zip,reason
21H84SP000093,eastern,,Pending,,,,,1/11/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/13/2021,,,,non-payment
21H84SP000094,eastern,,Pending,,,,,1/11/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/13/2021,,,,non-payment
21H84SP000097,eastern,,Pending,,,,,1/12/2021,0,0,0,0,SP Transfer - Non-payment of Rent,0,0,,,,,1/19/2021,Roxbury,MA,02119,non-payment
21H84SP000100,eastern,,Pending,,,,,1/12/2021,0,0,0,0,SP Transfer - Non-payment of Rent,0,0,,,,,1/19/2021,Winthrop,MA,02152,non-payment
21H84SP000108,eastern,,Pending,,,,,1/12/2021,0,0,0,0,SP Summons and Complaint - Cause,0,0,,,,,1/21/2021,Roxbury,MA,02119,cause
21H84SP000112,eastern,,Pending,,,,,1/12/2021,0,1,1,0,SP Transfer - Non-payment of Rent,0,1,,,,,1/19/2021,Newton Highlands,MA,02461,non-payment
21H84SP000118,eastern,,Pending,,,,,1/12/2021,1,1,1,1,SP Transfer - Non-payment of Rent,0,0,,,,,1/19/2021,Belmont,MA,02478,non-payment
21H84SP000119,eastern,,Pending,,,,,1/12/2021,0,1,1,0,SP Transfer - Non-payment of Rent,0,1,,,,,1/19/2021,West Newton,MA,02465,non-payment
21H84SP000122,eastern,,Pending,,,,,1/12/2021,0,0,0,0,SP Transfer - Non-payment of Rent,0,0,,,,,1/19/2021,Winthrop,MA,02152,non-payment
21H84SP000123,eastern,,Pending,,,,,1/12/2021,1,0,1,0,SP Transfer - Cause,0,0,,,,,1/19/2021,Somerville,MA,02145,cause
21H84SP000124,eastern,,Pending,,,,,1/12/2021,1,1,1,1,SP Transfer - Non-payment of Rent,0,0,,,,,1/19/2021,East Boston,MA,02128,non-payment
21H84SP000125,eastern,,Pending,,,,,1/12/2021,0,0,0,0,SP Transfer- No Cause,0,0,,,,,1/19/2021,East Boston,MA,02128,no cause
21H84SP000126,eastern,,Pending,,,,,1/12/2021,0,0,0,0,SP Transfer - Non-payment of Rent,0,0,,,,,1/19/2021,East Boston,MA,02128,non-payment
21H84SP000127,eastern,,Pending,,,,,1/12/2021,0,1,0,1,SP Transfer - Non-payment of Rent,0,0,,,,,1/19/2021,Newton Center,MA,02459,non-payment
21H84SP000128,eastern,,Pending,,,,,1/13/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/14/2021,,,,non-payment
21H84SP000129,eastern,,Pending,,,,,1/13/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/14/2021,,,,non-payment
21H84SP000130,eastern,,Pending,,,,,1/13/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/20/2021,,,,non-payment
21H84SP000131,eastern,,Pending,,,,,1/13/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/14/2021,,,,non-payment
21H84SP000132,eastern,,Pending,,,,,1/13/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/14/2021,,,,non-payment
21H84SP000133,eastern,,Pending,,,,,1/13/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/14/2021,,,,non-payment
21H84SP000134,eastern,,Pending,,,,,1/13/2021,0,1,0,1,Efiled SP Summons and Complaint - No Cause,0,0,,,,,1/21/2021,,,,no cause
21H84SP000135,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/14/2021,,,,non-payment
21H84SP000148,eastern,,Pending,,,,,1/14/2021,0,1,1,0,Efiled SP Summons and Complaint - Cause,0,1,,,,,1/22/2021,,,,cause
21H84SP000149,eastern,,Pending,,,,,1/14/2021,0,1,0,1,Efiled SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/22/2021,,,,non-payment
21H84SP000150,eastern,,Pending,,,,,1/14/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000151,eastern,,Pending,,,,,1/14/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000152,eastern,,Pending,,,,,1/14/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000153,eastern,,Pending,,,,,1/14/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000154,eastern,,Pending,,,,,1/14/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
