,Muni,Eviction Numbers,Total Households,Renter Occupied Pct,Renter Occupied,Evictions per Rented Households
97,Needham,67,10801,16.1,1738,0.03855005753739931
98,Stoneham,67,9666,34.6,3344,0.020035885167464115
99,Walpole,67,8746,18.1,1583,0.04232469993682881
100,Northborough,64,5399,19.2,1036,0.06177606177606178
101,Salisbury,64,3891,18.4,715,0.08951048951048951
102,Burlington,62,10001,26.4,2640,0.023484848484848483
103,Raynham,62,5225,19.0,992,0.0625
104,Melrose,62,11329,34.2,3874,0.01600413009808983
105,Millbury,62,5275,26.7,1408,0.04403409090909091
106,Ayer,60,3552,36.8,1307,0.045906656465187455
107,Falmouth,59,13821,22.1,3054,0.019318925998690242
108,Palmer,58,4884,28.3,1382,0.041968162083936326
109,Westwood,57,5532,14.9,824,0.0691747572815534
110,Easthampton,56,7209,39.1,2818,0.0198722498225692
111,Agawam,55,11829,24.2,2862,0.019217330538085255
112,South Hadley,55,6616,27.3,1806,0.03045404208194906
113,Hingham,49,8873,19.1,1694,0.028925619834710745
114,Bedford,48,5312,26.1,1386,0.03463203463203463
115,Lakeville,47,4083,15.1,616,0.0762987012987013
116,Auburn,47,6672,15.1,1007,0.04667328699106256
117,Newburyport,47,7836,22.8,1786,0.02631578947368421
118,Belmont,46,9819,35.5,3485,0.013199426111908177
119,Hanover,46,4913,11.9,584,0.07876712328767123
120,Hopkinton,46,6304,17.0,1071,0.04295051353874883
121,Carver,45,4489,8.8,395,0.11392405063291139
122,Pembroke,45,6563,15.2,997,0.04513540621865597
123,Swampscott,45,5780,22.9,1323,0.034013605442176874
124,Westport,44,6525,17.2,1122,0.0392156862745098
125,Wilmington,44,7957,14.2,1129,0.03897254207263064
126,Dudley,44,3905,32.2,1257,0.035003977724741446
127,Marblehead,43,8122,22.2,1803,0.02384914032168608
128,Sudbury,43,6386,8.4,536,0.08022388059701492
129,Pepperell,42,4444,20.2,897,0.046822742474916385
130,Medfield,41,4245,13.1,556,0.0737410071942446
131,Nantucket,41,3713,29.5,1095,0.03744292237442922
132,Westford,40,8571,13.8,1182,0.0338409475465313
133,Uxbridge,40,5024,19.6,984,0.04065040650406504
134,Ipswich,39,5761,28.3,1630,0.02392638036809816
135,Lexington,38,11811,18.3,2161,0.017584451642757983
136,Kingston,38,4949,18.2,900,0.042222222222222223
137,Plainville,37,3666,28.8,1055,0.035071090047393366
138,Acton,37,8795,25.8,2269,0.01630674305861613
139,Duxbury,37,5714,11.3,645,0.05736434108527132
140,Milton,36,8875,15.7,1393,0.025843503230437905
141,Somerset,36,6956,20.0,1391,0.025880661394680086
142,Northbridge,34,6166,36.4,2244,0.015151515151515152
143,Reading,34,9191,15.9,1461,0.02327173169062286
144,Newton,34,30657,28.0,8583,0.003961318886170337
145,Charlton,34,5064,20.9,1058,0.03213610586011342
146,Swansea,33,6361,11.8,750,0.044
147,Sharon,33,6344,11.6,735,0.044897959183673466
148,Scituate,33,7234,12.8,925,0.03567567567567568
149,Holden,33,7046,11.1,782,0.04219948849104859
150,Shirley,32,2449,27.1,663,0.048265460030165915
151,Maynard,31,4262,21.2,903,0.03433001107419712
152,North Reading,30,5543,12.3,681,0.04405286343612335
153,Bourne,30,8611,27.6,2376,0.012626262626262626
154,Harwich,29,5433,15.3,831,0.03489771359807461
155,Cohasset,28,3087,22.5,694,0.040345821325648415
156,Millis,28,3161,17.7,559,0.05008944543828265
157,Wrentham,28,4258,15.1,642,0.04361370716510903
158,Brewster,27,4198,15.5,650,0.04153846153846154
159,Townsend,27,3520,13.8,485,0.05567010309278351
160,Great Barrington,27,2813,31.9,897,0.030100334448160536
161,East Bridgewater,27,4828,19.1,922,0.02928416485900217
162,Blackstone,26,3526,22.3,786,0.03307888040712468
163,Sandwich,26,7818,9.1,711,0.03656821378340366
164,Leicester,25,4070,22.9,932,0.02682403433476395
165,Hanson,23,3907,8.9,347,0.06628242074927954
166,West Boylston,23,2336,17.3,404,0.05693069306930693
167,Eastham,23,2396,9.3,222,0.1036036036036036
168,Lynnfield,23,4590,14.9,683,0.03367496339677892
169,Warren,22,1859,22.2,412,0.05339805825242718
170,Medway,22,4735,10.1,478,0.04602510460251046
171,Marion,21,1942,19.7,382,0.0549738219895288
172,East Longmeadow,21,5958,17.4,1036,0.02027027027027027
173,Concord,21,6635,25.0,1658,0.012665862484921592
174,North Brookfield,21,1841,26.9,495,0.04242424242424243
175,Dartmouth,21,11563,21.4,2474,0.008488278092158448
176,Provincetown,21,1702,21.4,364,0.057692307692307696
177,Sturbridge,20,3619,18.7,676,0.029585798816568046
178,Southwick,20,3804,18.7,711,0.02812939521800281
179,Wellesley,20,8449,19.1,1613,0.012399256044637322
180,Holliston,20,5270,8.6,453,0.04415011037527594
181,Rehoboth,20,4160,9.5,395,0.05063291139240506
182,Halifax,19,2904,9.2,267,0.07116104868913857
183,Chatham,19,2894,15.7,454,0.04185022026431718
184,Wilbraham,18,5217,11.9,620,0.02903225806451613
185,Littleton,18,3657,11.7,427,0.04215456674473068
186,Dalton,17,3034,24.7,749,0.022696929238985315
187,Avon,17,1574,26.1,410,0.041463414634146344
188,Monson,17,3472,17.6,611,0.027823240589198037
189,Williamstown,17,2275,26.8,609,0.027914614121510674
190,Rockport,17,3324,31.0,1030,0.01650485436893204
191,West Bridgewater,16,2499,13.4,334,0.04790419161676647
192,Grafton,16,7034,23.5,1652,0.009685230024213076
193,Mattapoisett,16,2648,21.3,564,0.028368794326241134
194,Orleans,15,2718,17.3,470,0.031914893617021274
195,Douglas,15,3234,19.2,620,0.024193548387096774
196,Hardwick,15,1216,32.3,392,0.03826530612244898
197,Winchester,15,7884,13.6,1072,0.013992537313432836
198,Boylston,14,1799,16.7,300,0.04666666666666667
199,Hopedale,14,2181,15.8,344,0.040697674418604654
200,West Brookfield,14,1510,32.6,492,0.028455284552845527
201,Lancaster,14,2530,22.9,579,0.024179620034542316
202,Sheffield,13,1384,15.8,218,0.05963302752293578
203,Sutton,13,3426,9.9,339,0.038348082595870206
204,Rutland,13,2885,17.9,516,0.025193798449612403
205,Acushnet,13,4094,13.2,540,0.024074074074074074
206,Cheshire,13,1473,18.1,266,0.04887218045112782
207,Southborough,13,3542,10.0,354,0.03672316384180791
208,Georgetown,13,3295,19.2,632,0.020569620253164556
209,Upton,12,2716,14.7,399,0.03007518796992481
210,Sunderland,12,1677,59.7,1001,0.011988011988011988
211,Boxborough,12,2266,31.2,706,0.0169971671388102
212,Dennis,12,6862,26.5,1818,0.006600660066006601
213,Granby,12,2603,12.9,335,0.03582089552238806
214,Edgartown,12,1453,22.4,325,0.036923076923076927
215,Westminster,12,2870,9.1,261,0.04597701149425287
216,Nahant,11,1602,29.5,472,0.023305084745762712
217,Lanesborough,11,1255,14.5,181,0.06077348066298342
218,Southampton,11,2406,9.1,218,0.05045871559633028
219,Norwell,11,3666,6.5,238,0.046218487394957986
220,Oak Bluffs,11,1750,25.8,451,0.024390243902439025
221,Merrimac,10,2710,12.9,349,0.02865329512893983
222,Barre,10,2039,16.9,344,0.029069767441860465
223,Sterling,10,2777,9.5,263,0.03802281368821293
224,Rowley,10,2210,18.7,413,0.024213075060532687
225,Wayland,10,4786,8.6,411,0.024330900243309004
226,Brookfield,10,1404,13.2,185,0.05405405405405406
227,Huntington,10,921,17.7,163,0.06134969325153374
228,Mendon,9,2059,10.7,220,0.04090909090909091
229,Groveland,9,2448,12.9,315,0.02857142857142857
230,Dighton,9,2835,9.7,274,0.032846715328467155
231,Millville,8,1241,22.5,279,0.02867383512544803
232,Groton,8,4071,14.2,578,0.01384083044982699
233,Barnstable,8,18796,25.0,4699,0.0017024898914662695
234,Middleton,8,2999,11.6,347,0.023054755043227664
235,Wellfleet,8,1598,15.0,239,0.03347280334728033
236,Northfield,8,1225,16.3,199,0.04020100502512563
237,Lee,8,2243,31.0,695,0.011510791366906475
238,Ashburnham,8,2031,8.5,172,0.046511627906976744
239,Templeton,7,3317,17.7,587,0.01192504258943782
240,Foxborough,7,6805,36.4,2477,0.002825999192571659
241,Ashby,7,1167,7.7,89,0.07865168539325842
242,Lenox,7,2278,34.5,785,0.008917197452229299
243,Norfolk,7,3186,4.4,140,0.05
244,Becket,7,825,8.5,70,0.1
245,Russell,7,568,14.4,81,0.08641975308641975
246,Bolton,7,1739,6.5,113,0.061946902654867256
247,Hadley,7,2294,21.6,495,0.014141414141414142
248,Princeton,6,1271,4.4,55,0.10909090909090909
249,Brimfield,6,1447,12.0,173,0.03468208092485549
250,Weston,6,3787,14.2,537,0.0111731843575419
251,Stockbridge,6,847,35.5,300,0.02
252,Longmeadow,6,5609,9.9,555,0.010810810810810811
253,West Newbury,6,1678,8.2,137,0.043795620437956206
254,Berlin,6,1179,17.5,206,0.02912621359223301
255,Wales,5,844,18.2,153,0.032679738562091505
256,Stow,5,2558,11.6,296,0.016891891891891893
257,Dover,5,2031,6.5,132,0.03787878787878788
258,Essex,5,1457,17.8,259,0.019305019305019305
259,Wenham,5,1418,10.0,141,0.03546099290780142
260,Oakham,5,688,4.9,33,0.15151515151515152
261,Holland,5,1006,12.5,125,0.04
262,Berkley,5,2384,3.1,73,0.0684931506849315
263,Richmond,5,679,5.2,35,0.14285714285714285
264,Charlemont,5,442,22.2,98,0.05102040816326531
265,Lincoln,5,2709,40.6,1099,0.004549590536851683
266,Rochester,5,1928,6.9,133,0.03759398496240601
267,Buckland,5,876,26.1,228,0.021929824561403508
268,Easton,4,8477,22.7,1924,0.002079002079002079
269,Montague,4,3804,41.6,1582,0.0025284450063211127
270,Hinsdale,4,798,22.6,180,0.022222222222222223
271,Paxton,4,1499,4.6,68,0.058823529411764705
272,Otis,4,691,13.9,96,0.041666666666666664
273,Hatfield,4,1493,27.9,416,0.009615384615384616
274,Hubbardston,4,1697,13.1,222,0.018018018018018018
275,Ashfield,4,660,18.5,122,0.03278688524590164
276,Plympton,4,1010,13.7,138,0.028985507246376812
277,Boxford,3,2839,2.3,65,0.046153846153846156
278,Truro,3,601,17.6,105,0.02857142857142857
279,Leverett,3,766,11.4,87,0.034482758620689655
280,Wendell,3,383,20.6,78,0.038461538461538464
281,Rowe,3,191,9.4,17,0.17647058823529413
282,Erving,3,670,17.6,117,0.02564102564102564
283,Hampden,3,2000,8.7,174,0.017241379310344827
284,Carlisle,3,1876,5.4,101,0.0297029702970297
285,West Stockbridge,3,461,13.2,60,0.05
286,Clarksburg,3,709,7.9,56,0.05357142857142857
287,Sherborn,3,1525,4.0,61,0.04918032786885246
288,Hamilton,3,2719,19.1,519,0.005780346820809248
289,East Brookfield,2,795,15.6,124,0.016129032258064516
290,West Tisbury,2,1068,12.5,133,0.015037593984962405
291,Cummington,2,422,23.2,97,0.020618556701030927
292,Granville,2,622,5.9,36,0.05555555555555555
293,Phillipston,2,643,8.4,54,0.037037037037037035
294,Royalston,2,570,18.4,104,0.019230769230769232
295,Dunstable,2,1178,5.2,61,0.03278688524590164
296,Chester,2,583,19.0,110,0.01818181818181818
297,Shutesbury,2,740,10.0,74,0.02702702702702703
298,Bernardston,2,891,21.8,194,0.010309278350515464
299,Warwick,2,348,6.6,22,0.09090909090909091
300,Colrain,2,751,17.0,127,0.015748031496062992
301,Topsfield,2,2206,9.7,213,0.009389671361502348
302,Harvard,2,1864,4.8,89,0.02247191011235955
303,Williamsburg,2,1161,28.3,328,0.006097560975609756
304,Petersham,2,473,14.2,67,0.029850746268656716
305,Whately,1,641,17.0,108,0.009259259259259259
306,Aquinnah,1,176,19.9,35,0.02857142857142857
307,Chilmark,1,456,20.4,93,0.010752688172043012
308,Monterey,1,362,12.7,45,0.022222222222222223
309,Montgomery,1,330,2.4,7,0.14285714285714285
310,Newbury,1,2577,13.6,350,0.002857142857142857
311,Goshen,1,413,12.1,49,0.02040816326530612
312,Savoy,1,293,8.2,24,0.041666666666666664
313,Blandford,1,481,5.0,24,0.041666666666666664
314,Freetown,1,3262,9.2,300,0.0033333333333333335
315,Florida,1,314,13.1,41,0.024390243902439025
316,Plainfield,1,302,17.9,54,0.018518518518518517
317,Peru,1,349,6.9,24,0.041666666666666664
