,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
20,25,025,101101,1400000US25025101101,25025101101,1011.01,CT,379741,0,"POLYGON ((-71.099632 42.282336, -71.096316 42.285818, -71.09610499999999 42.286043, -71.09475499999999 42.287297, -71.093887 42.287668, -71.09341499999999 42.28651, -71.09319599999999 42.28593499999999, -71.09286 42.28513, -71.09156899999999 42.284214, -71.091807 42.283523, -71.09210899999999 42.282601, -71.092968 42.280021, -71.093182 42.279386, -71.09349 42.278421, -71.093576 42.277248, -71.094976 42.278239, -71.097928 42.281262, -71.09845 42.281698, -71.099632 42.282336))"
21,25,025,140106,1400000US25025140106,25025140106,1401.06,CT,279850,3116,"POLYGON ((-71.140269 42.275474, -71.138649 42.276901, -71.13699799999999 42.278323, -71.13478499999999 42.276898, -71.134626 42.276784, -71.131642 42.274908, -71.13270299999999 42.274037, -71.133781 42.274396, -71.13659199999999 42.27151, -71.140653 42.275179, -71.140269 42.275474))"
22,25,025,170200,1400000US25025170200,25025170200,1702,CT,998542,0,"POLYGON ((-71.031086 42.418782, -71.029319 42.42187699999999, -71.027894 42.421437, -71.020134 42.419109, -71.018975 42.418606, -71.018658 42.419093, -71.012326 42.417305, -71.011194 42.418385, -71.009343 42.41722, -71.00837899999999 42.416113, -71.00986899999999 42.413936, -71.011234 42.411781, -71.014408 42.412631, -71.017656 42.413537, -71.018278 42.413709, -71.022741 42.414945, -71.02754399999999 42.41625699999999, -71.031729 42.417392, -71.031086 42.418782))"
23,25,027,726200,1400000US25027726200,25027726200,7262,CT,5463145,162237,"POLYGON ((-72.008208 42.239069, -72.007769 42.241555, -72.008414 42.244065, -72.006514 42.249293, -72.002864 42.25456, -72.000884 42.256104, -71.99543799999999 42.258779, -71.995071 42.259118, -71.993168 42.262865, -71.99262399999999 42.262139, -71.99105 42.254491, -71.98090000000001 42.255673, -71.978376 42.25333, -71.97758999999999 42.25121, -71.980513 42.249863, -71.981382 42.24962, -71.979102 42.245476, -71.977383 42.24461, -71.978409 42.24266799999999, -71.97804099999999 42.24161, -71.977081 42.240871, -71.978667 42.239105, -71.979725 42.236363, -71.982191 42.232656, -71.98045999999999 42.230985, -71.987132 42.23229, -71.99949699999999 42.235419, -72.004975 42.237338, -72.00877 42.23799899999999, -72.008208 42.239069))"
24,25,027,728200,1400000US25027728200,25027728200,7282,CT,4164983,0,"POLYGON ((-71.836056 42.336405, -71.83340199999999 42.336124, -71.831959 42.33533, -71.828785 42.333048, -71.82616899999999 42.331972, -71.822487 42.332582, -71.819892 42.333341, -71.81624699999999 42.335814, -71.812493 42.338315, -71.81099499999999 42.338964, -71.805418 42.339293, -71.804345 42.339019, -71.802042 42.331345, -71.80378999999999 42.330282, -71.81683 42.322292, -71.822943 42.318589, -71.826672 42.316313, -71.828863 42.314981, -71.833861 42.311923, -71.83569 42.32038, -71.83194999999999 42.319589, -71.83260299999999 42.322955, -71.83264299999999 42.325168, -71.83395 42.327025, -71.835307 42.330831, -71.83635799999999 42.335982, -71.836056 42.336405))"
25,25,027,731202,1400000US25027731202,25027731202,7312.02,CT,99199,0,"POLYGON ((-71.825926 42.251288, -71.82319099999999 42.253703, -71.822492 42.253189, -71.82169 42.252314, -71.821122 42.250812, -71.823606 42.249484, -71.825926 42.251288))"
26,25,027,732001,1400000US25027732001,25027732001,7320.01,CT,1106754,4552,"POLYGON ((-71.780357 42.311483, -71.77648499999999 42.311656, -71.771322 42.313779, -71.76899 42.312377, -71.76826699999999 42.31126, -71.763103 42.303257, -71.764754 42.30092, -71.767684 42.304444, -71.773853 42.30306, -71.774726 42.3032, -71.776197 42.303515, -71.77695799999999 42.304498, -71.77866299999999 42.306788, -71.781598 42.310758, -71.780357 42.311483))"
27,25,027,732700,1400000US25027732700,25027732700,7327,CT,852710,921,"POLYGON ((-71.802098 42.240713, -71.798929 42.24196, -71.79737999999999 42.242248, -71.79730599999999 42.242603, -71.797107 42.24325, -71.795542 42.245425, -71.79483399999999 42.246461, -71.794737 42.248999, -71.794825 42.250198, -71.793886 42.249476, -71.792451 42.248666, -71.79030999999999 42.248128, -71.790137 42.247573, -71.787773 42.246319, -71.785675 42.245263, -71.78620099999999 42.24371, -71.78879499999999 42.244121, -71.79119899999999 42.242971, -71.79136199999999 42.241246, -71.792435 42.236573, -71.790375 42.23439399999999, -71.794085 42.237025, -71.79602199999999 42.237585, -71.796854 42.23703, -71.79649599999999 42.235935, -71.80144 42.240003, -71.802098 42.240713))"
28,25,027,747102,1400000US25027747102,25027747102,7471.02,CT,14055537,238203,"POLYGON ((-71.563917 42.064056, -71.525007 42.06455, -71.53008 42.05641, -71.53244699999999 42.052019, -71.532235 42.047527, -71.53254199999999 42.044996, -71.53508599999999 42.040705, -71.53379 42.03213299999999, -71.535988 42.026691, -71.53625099999999 42.025234, -71.534621 42.022273, -71.533732 42.019263, -71.52925499999999 42.01659799999999, -71.5276999611655 42.014996063691, -71.5291172465257 42.0149668569183, -71.553360975429 42.0144672531687, -71.559439 42.014342, -71.5636650212292 42.0142829726269, -71.56372499999999 42.02649, -71.563762 42.033728, -71.563917 42.064056))"
29,25,027,757300,1400000US25027757300,25027757300,7573,CT,932626,20079,"POLYGON ((-72.049261 42.078648, -72.04490699999999 42.077984, -72.04425999999999 42.08062, -72.04415299999999 42.08120599999999, -72.0408 42.083155, -72.038534 42.083845, -72.03603 42.082829, -72.03552999999999 42.081365, -72.03223899999999 42.079306, -72.03178 42.077941, -72.03202 42.076302, -72.032882 42.074625, -72.03229399999999 42.074338, -72.033312 42.072543, -72.034768 42.073552, -72.039344 42.07498, -72.043921 42.076866, -72.045222 42.07662, -72.04758699999999 42.076201, -72.051242 42.077109, -72.049261 42.078648))"
